"","player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","total","Winner","Top3","Top5","Top10","Top20"
"52","Dan Butler",0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"53","Jack Billings",0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0
"54","Jack Viney",3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"55","Jared Polec",2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"56","Joel Selwood",0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"57","Jordan De Goey",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0
"58","Max Gawn",0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"59","Nick Haynes",0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0
"60","Tom Mitchell",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0
"61","Trent Cotchin",0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0
"62","Adam Treloar",0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
"63","Andrew Gaff",2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0.5
"64","Dayne Zorko",0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0
"65","Ed Curnow",0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0
"66","Hugh Greenwood",0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0
"67","Isaac Heeney",3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"68","Jack Gunston",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
"69","Jarrod Berry",0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0
"70","Josh Kelly",0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0.5
"71","Jy Simpkin",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
"72","Kane Lambert",0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0
"73","Marc Murphy",0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0
"74","Matt Crouch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,5,0,0,0,0,0
"75","Shai Bolton",0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,5,0,0,0,0,0
"76","Touk Miller",0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"77","Brody Mihocek",1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"78","Ed Langdon",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,4,0,0,0,0,0
"79","Jack Crisp",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0
"80","Jack Martin",0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
"81","Jacob Hopper",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"82","Jade Gresham",0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"83","Jarrod Witts",0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"84","Jeremy McGovern",0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
"85","Levi Casboult",0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"86","Steven May",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0
